,Unnamed: 0,OverallRating,ReviewHeader,Name,Datetime,VerifiedReview,ReviewBody,TypeOfTraveller,SeatType,Route,DateFlown,SeatComfort,CabinStaffService,GroundService,ValueForMoney,Recommended,Aircraft,Food&Beverages,InflightEntertainment,Wifi&Connectivity
1025,1025,8.0,"""crew were very friendly""",Gavin Morrison,18th December 2018,True,"Glasgow to New York via London. Morning flight from GLA to LHR was ok. I really miss the complimentary breakfast on the morning flights! We left on time and arrived in plenty of time to make our connection to JFK. On the JFK flight the service was fantastic. The meal was nice and we were offered plenty of drinks throughout the flight. We left and arrived on time. The seat and legroom was fine. My mothers IFE didn't work and she was moved seat, which she appreciated. The cabin crew were very friendly.",Couple Leisure,Economy Class,Glasgow to New York via London,December 2018,4.0,5.0,4.0,4.0,yes,A319 / Boeing 777,5.0,5.0,2.0
2542,2542,6.0,"""treat passengers poorly""",Shripad Sathe,29th November 2015,False,"Manchester to Mumbai via Heathrow return, an A320 for the shorter leg and a Boeing 777-300ER on the long haul leg. Sadly British Airways seems to have it's most rude and arrogant staff on flights to India, who treat passengers poorly and don't really care. Flew MAN-LHR-BOS return last month and the staff on those flights seemed to be much better. Same with the food - food on the flight to and from India wasn't great - I asked for a specific meal on the outward journey which wasn't there and was instead there on the return leg - which I did not need. When I queried this - the answer was ""You must have made a mistake"" and the attitude was of a ""take it or leave it"".  ",Business,Economy Class,MAN to BOM via LHR,January 2015,3.0,1.0,4.0,4.0,yes,Boeing 777-300ER,1.0,2.0,
1368,1368,10.0,"""pleasure to fly with a great airline""",Victor Mendonca,30th November 2017,True,"Flew Funchal to London Gatwick. Just wanted to thank the staff on the aircraft for retrieving my game console, was a pleasure to fly with a great airline like British Airways. I left my console on the flight, once I realised that I have left it behind I headed over to the help desk which is located in the baggage control area. The staff were friendly and happy to assist me, the gentlemen made a call and while this was happening the air hostess appeared with my console in hand. This has really made me appreciate flying with a high quality airline. Future flights to Madeira are most certainly going to be with British Airways.",Solo Leisure,Economy Class,Funchal to London Gatwick ,November 2017,5.0,5.0,5.0,5.0,yes,,5.0,,
2835,2835,1.0,British Airways customer review,Dave Houlihan,27th July 2015,False,"This review is written due to what I feel is true reflection of the decline of a once great airline. Check in took 30 minutes as the agent was dealing with a couple and escorted them to the lounge and made us wait until he returned. The first class security lane was manned by the rudest staff I have ever come across. The lounge was fine, but it is looking tired. Service good and range of menu was broad and wines good. No priority boarding, had to queue in the airbridge for 10 minutes, no greeting at the door, no escort to seat, no jacket hung up and the seat was dirty (covered in crumbs and other such food). Opened two magazines both torn, ripped and in rag order. Staff very pleasant, professional, and very helpful. Food ok not First class, wines good. The entertainment system was broken and kept rebooting itself. The seat would not lie flat and hard to move. Bought on board duty free and asked would I need a sealed bag to bring it through to my connection told yes. Deplaned, no escort, no gate to go to, given wrong directions to the lounge. Had to clear immigration although not entering the UK, waited 45 minutes to be told duty free I bought on board could not go through I would need to go to check in although told the opposite on board. This was done, had to reclear security again, got to the lounge asked for a shower, told too busy. Connection flight was delayed by one hour, waited at the gate. Flight to Dublin short, salad served and tea. Priority bags were the last bags on the belt. Overall this is not first class, it is not even premium economy. I fly 12-14 times a year and gold level. BA you have lost your edge, I will stay loyal to Qatar, Emirates and Cathay Pacfic whose consistent hard wear and soft product is worth the money and deserves my business. My advice do not waste your money with BA, it's service cutting to the point of insult.",Business,First Class,New York to Dublin via Heathrow,July 2015,2.0,3.0,1.0,1.0,no,Boeing 747,2.0,1.0,
1575,1575,2.0,"""Baggage had not been loaded""",Piers Croke,30th June 2017,False,"Frankfurt to London Heathrow. Three bags belonging to self and colleague checked 26 June at Frankfurt on the 1720 flight to London, 2.5 hrs before flight. Flight arrived in London (40 mins late) and 1 of 3 bags appeared on carousel (a business flight with virtually no checked baggage on it). Courteous Customer Service personnel in Baggage Hall took details - noted that ""Baggage had not been loaded"". Promised that bags would be sent on first flight the next day and should be delivered to our office by 12.00 noon. Nothing, and still waiting for delivery at 1510 three days later. How and why 1 out of 3 delivered, and why 48 hours for delivery?",Business,Economy Class,Frankfurt to London Heathrow,June 2017,2.0,2.0,1.0,1.0,no,,,,
2920,2920,8.0,British Airways customer review,James Williamson,12th June 2015,False,"28th May 2015, LHR-DEN, B747, Seat 29A.  Paid £55 extra for Legroom seat which was good though the width is very narrow.  Lady in seat next to me kept fidgeting And her arm kept twitching into mine the whole flight which was annoying.  Flight was on time and cabin crew were all very friendly.  Food also was pretty good for economy.  747 is really showing her age now, though the cabin was clean, tidy and in good condition, it was old in style and very noisy.  The entertainment system is also quite long in the tooth with a small, blurry, screen.  Pretty good flight though.",Solo Leisure,Economy Class,LHR-DEN,May 2015,3.0,5.0,,4.0,yes,B747,4.0,2.0,
447,447,1.0,"""minimal leg room in economy""",S Meade,18th February 2022,True,"Very old planes, poor food and minimal leg room in economy. Check in procedure online did not work for me or any of my fellow travellers. Special meal request given weeks in advance for food allergy was ignored. I spoke to a BA customer service representative as soon as I landed in Heathrow who said they could not help and referred to the telephone line who said the same but referred to the online complaints form. Have been trying for weeks to raise this as a concern for those with food allergies and prevent this from happening to others but no reply via their complaints website or on Twitter. Telephone hotline is now also currently unavailable.",Couple Leisure,Economy Class,Accra to London ,January 2022,1.0,2.0,1.0,1.0,no,,1.0,1.0,1.0
3094,3094,1.0,British Airways customer review,A Crow,17th March 2015,False,Flew to Bangkok with Thai Airways who were lovely to fly with great choice of food and good leg room. We were expecting at least the same level of comfort and service with BA. The leg room is terrible and only an hour after take off the lady in front put her chair in full recline and made the space in front of me so claustrophobic I couldn't see the TV screen as it was so close to my face as well as having to sit at an awkward position as I have long legs and couldn't put them out in front of me. So uncomfortable. The food was dire with cheap pasta or minuscule fish with more rice After a fortnight of eating rice it would have been nice to have something different. Does BA actually read and take notice of these negative reviews are we wasting our time?,,Economy Class,,,1.0,3.0,,1.0,no,,1.0,2.0,
3022,3022,1.0,British Airways customer review,Patrick Ferrall,23rd April 2015,False,BA 730 LHR-GVA 20 Apr 15. Are fooling no-one with their new Club Europe Business Class seats - they look nice - but are too close together providing extremely poor legroom! As a regular London to Geneva traveller I will go back to flying Swiss! The decision to change this is almost as bad as the stupid decision to have seats facing backwards in Club World where you have to face strangers and climb over others to get to your seat. If you can't fly First Class with BA choose another airline until they remedy these issues because their Business Class product is rubbish!,,Business Class,,,1.0,3.0,,1.0,no,,3.0,1.0,
2103,2103,1.0,"""by far the worst cabin crew""",Paul Bryde,20th September 2016,False,"I am a regular traveller on many airlines and a One World Emerald FF. British Airways flight BA632 from LHR to Athens on 11th September was by far the worst cabin crew that I have encountered in 45 years of flying. The crew had no interest in the interests of passengers in Business Class, and were more interested in chatting with each other in the galley area. After 1.5 hours in the air, we were offered a drink, the champagne was undrinkable, and the crew gave me a gin and tonic. After that they did a meal service and served a fish dish that had been overheated and again was inedible. That was all the service we received on the whole flight of 3.5 hours. No top up of drinks no offer of water, and again the cabin crew spent their whole time in the galley eating and talking. I even went out and asked them was there any service on this aircraft, and received no reply",Solo Leisure,Business Class,LHR to ATH,September 2016,1.0,1.0,3.0,1.0,no,Boeing 767,1.0,3.0,
2418,2418,9.0,"""good food and drink""",Guy Senior,9th February 2016,False,"An excellent flight from Atlanta to London, with good food and drink, plenty of space and a helpful cabin crew. Plane was delayed by bad weather in London but the crew tried to turn things around. The IFE system was one of British Airways newer versions which was very good, and it's a shame it is not available across the British Airways fleet.",Solo Leisure,First Class,ATL to LHR,November 2015,5.0,5.0,4.0,4.0,yes,Boeing 777,5.0,5.0,
2545,2545,1.0,"""disgusted by such treatment""",G Bradley,27th November 2015,False,I travel quite often to Europe and elsewhere but have avoided flying British Airways due to bad experiences in the past. However I decided to try the airline again - and a big mistake! Checked in online and selected a widow seat near the front of the aircraft. On arriving at LGW I was informed my seat had been unilaterally changed to an aisle seat at the rear of the aircraft! I am absolutely disgusted by such treatment. No other airline has done that to me ever in 20 years of flying. As a result of this I shall now try even harder to avoid flying British Airways whenever possible. Oh and the flight was delayed and the boarding staff were slow and inefficient. Bad experience all round.,Business,Economy Class,LGW to AMS,November 2015,1.0,2.0,1.0,3.0,no,A319,1.0,,
1401,1401,1.0,"""exactly the same width and pitch""",Yuriy Karpov,10th November 2017,False,"My wife and I booked two round trip business class air tickets from Johannesburg to Victoria Falls with British Airways / Comair. It turned out that our business class seats were not any different from the seats in the economy class: they had exactly the same width and pitch! Actually, British Airways simply separated several seats in the front from the rest of the aircraft cabin with a curtain, and called this a business class! Moreover, our pre-flight accommodations were not any better than those of the economy class passengers because British Airways does not even have a lodge for business class passengers in Victoria Falls. Yes, during the flight we were served sparkling wine and snacks, but does this difference substantiate my paying for two round trip tickets $1,372 rather than $703, which would have been the cost of the economy class tickets?",Couple Leisure,Business Class,Johannesburg to Victoria Falls,October 2017,1.0,3.0,1.0,1.0,no,,3.0,1.0,
1732,1732,2.0,"""want to be a no-frills airline""",C Morgan,12th April 2017,False,"I had to change my flight back from San Diego because of an accident that required a stay in hospital. I'd flown out first class and had a business class return. I do understand why some fare structures mean that flights are not changeable, but BA were absolutely no help at all. They flatly refused to change the flight so I had to buy a ticket in the only available class - World Traveller Plus. Which cost $3,300 - one way. The first class fight to was OK - nice cabin crew and good food, but grubby cabin and clear cost cutting - no snacks, water etc in the galley like there used to be. Absolutely no help on the return trip - despite requests before the flight - because I was walking with a stick. I'd requested an aisle seat, had to ask again at check in as they had given me a seat in the middle which would have really annoyed other passengers as I tried to get across them to go to the loo etc with my stick. Really poor value at $3,300 and rubbish seats, uncomfortable and tv screens that aren't great. The food was awful - clear that costs are being cut massively. Maybe their plan is to offer such rubbish food that when they introduce food you have to buy in long haul we all feel grateful! It's a pity really. It's obviously BAs call if they want to be a no-frills airline, but I'd rather they were honest with us so that we can choose amongst the many other no frills airlines. But they keep trying to say that BA is a leading brand with strong values when clearly they've decided to cut costs wherever they can but still charge high prices. Might make them profitable to be a follower in the short term but I suspect people will vote with there feet and fly with someone else.",Business,Premium Economy,San Diego to London,March 2017,1.0,2.0,1.0,1.0,no,Boeing 747,1.0,1.0,
865,865,10.0,"""high level of service and friendliness""",Alwaleed Althani,6th June 2019,True,Flight was delayed by almost two hours and it was nice when they gave us the only Boeing 747-400 that was in old BOAC retro colours the seats where wide and comfortable plenty of storage the IFE was average food was good and in generous portions but what stood out was the high level of service and friendliness!,Solo Leisure,First Class,London to Washington,June 2019,5.0,5.0,5.0,5.0,yes,B747-400 in retro,5.0,3.0,
923,923,1.0,"""food portions so meagre""",Hermeet Kaur,6th April 2019,True,London to Bangalore. This was the worst experience. I flew with my infant daughter ande cabin crew was extremely rude. I was surprised that there was no way to heat milk for my daughter. I found the food portions so meagre. Not sufficient for a child also.  British Airways is sad in every sense of the term.,Family Leisure,Economy Class,London to Bangalore,September 2018,3.0,1.0,2.0,3.0,no,,1.0,,
1419,1419,7.0,"""this flight was fine""",Simon Fowler,26th October 2017,False,"Oakland to Heathrow and this flight was fine. The worst that could be said is that there is no magic, that other airlines manage to provide. Left and arrived on time. FA attentive and professional. Food reasonable and alcohol served in generous proportions. My only real complaint was the inflight entertainment was rather poor with lots of old films and TV programmes and a mediocre choice of music.",Solo Leisure,Business Class,Oakland to Heathrow,October 2017,4.0,4.0,4.0,4.0,yes,,3.0,2.0,
3601,3601,10.0,British Airways customer review,Ian Roberts,12th June 2014,False,LHR-CPH-LHR both A320s. Other than bussed to stand on the outward all was very good. The bus is unexpected at a 'new' terminal but the warmth of the welcome from the crew cheered you up a lot! Simple and tasty flatbread and drink ideal for the 1.45 journey. The return was a tad delayed due local ATC but even though only 10 mins or so the flight deck kept us very well informed and the crew came round with juice or water. Delay was made up enroute and bag appeared as I reached the carousel. Advance booking and using a few points (some I earned back on this flight) made the fare cheaper than low cost carriers. With BA renewing it's fleet the a/c seemed almost new and all very enjoyable.,,Economy Class,,,5.0,5.0,,5.0,yes,,5.0,4.0,
1285,1285,3.0,"""I end up with mix feelings""",Carlos Arenas,23rd February 2018,True,"I have traveled several times with British Airways, but only in long haul trips. Those have been pretty good. This time I had to fly from Edinburgh to London Gatwick and I end up with mix feelings. Ground service in Edinburgh was outstanding. Expeditious, friendly and they gave me the chance to check a second bag without any extra charge. Service on board was average but friendly. Departure was on time and we arrived 20 minutes earlier, so very well. The plane was an Airbus 319 in pretty good shape, clean and well maintained, however the space between seats was simply ridiculous. It was extremely small even for a midsize person. There would not be a chance to open a laptop and try to work. Happily the person in front of me did not recline, that could have been a disaster. Very bad. Of course there was no entertainment. There was food and beverages for purchase. Due to the space between seats I would avoid flying with BA in short haul flights.",Couple Leisure,Economy Class,Edimbourgh to London Gatwick,February 2018,1.0,3.0,3.0,5.0,no,A319,,,
1918,1918,1.0,"""no customer loyalty sought""",P Greeson,22nd December 2016,False,"Baltimore Washington to London Heathrow. Bad start for my first trip on British Airways. Extra cost for decent seat, meant nothing. Bought a mid-cabin seat for my wife and I. Flight delayed 4.5 hours due to mechanical problem. So for the insult of paying for reasonable seats, my wife and I were rebooked in the very last row of the aircraft - no refund, just shoulder shrugs about it being a different aircraft. This caused us to miss our connecting flight to Venice, thereby incurring a 7 hour wait at Heathrow. Overall a loss of a half day. Thinking that BA would want to atone for royally jobbing us on the flights, was wasted. A couple of low cost vouchers for small meals were provided. A suggestion that access to the British Airways lounge would be a class way to assuage the delay was met with a look of astonishment. No real remorse, matter of fact responses like gee, this happens a lot and good luck. No customer loyalty sought. Dispassionate, professional, but not really friendly. Staff seemed tired and overworked at counters.",Couple Leisure,Economy Class,BWI to LHR,December 2016,2.0,3.0,1.0,1.0,no,Boeing 787,2.0,3.0,
1508,1508,9.0,"""very good experience""",Francois Koenig,16th August 2017,False,"Johannesburg to London Heathrow. Premium Economy very spacious with 38 inch seat pitch, very good IFE. The 2 crew serving this section were excellent: polite, engaging and fun. Amenity kits appreciated. Chicken curry was delicious- my brother and fellow traveller both advised their steaks were the best they had eaten on an airline. Impressed with warm bread rolls. Plenty of wine. Did not eat breakfast. Negatives being toilet and galley noise behind last row 38, elderly cabin, 8 abreast seating on Boeing 747 compared to 7 abreast on the A380. Outward from London to Johannesburg the upper-deck Premium Economy cabin on A380 is very personal and much more spacious and quieter than on Boeing 747 aircraft. Nice wide selection on IFE. Once again excellent, young and polite crew. Beef steak asparagus dinner and orange chocolate dessert was delicious. Negatives being inedible cold hard bun prior to landing in JNB, although hot breakfast was offered which I didn't partake in. Overall a very good experience and would recommend BA.",Solo Leisure,Premium Economy,Johannesburg to London,August 2017,5.0,5.0,4.0,4.0,yes,Boeing 747-400 / A380,5.0,5.0,3.0
1064,1064,8.0,"""Good improvement""",Robert Watson,24th October 2018,True,Madrid to London. Good improvement. This BA club Europe flight was on a B777 so seats were flat beds. BA have updated their menus so instead of serving a sandwich they offered a full meal service. Three choices of main and food was good quality. Good BA listened to feedback. They were as always let down by their Iberia partners in that their Madrid business lounge was abysmal as usual. With no toilets available and the lone tortilla as the unique culinary offering along with dirty tables,Business,Business Class,Madrid to London,October 2018,4.0,5.0,4.0,4.0,yes,Boeing 777-200,4.0,,
386,386,2.0,"""Cancelled connection flight""",M Mueller,11th May 2022,False,"Basel to Johannesburg via London. Cancelled connection flight: confusing UI, still shows cancelled booking in my bookings, never sent a confirmation email for new flights.  Cant check-in. Could check-in online or via the app. Customer service is non-existent. Busy line, after 45min still no one there to help me check in.",Solo Leisure,Economy Class,Basel to Johannesburg via London,May 2022,1.0,2.0,1.0,2.0,no,,2.0,2.0,1.0
1920,1920,7.0,"""the staff were on the ball""",P Tyler,22nd December 2016,False,"This was a much better flight than our outward LHR-BKK with British Airways. The staff were on the ball, worked hard and always around. A nice plane, good IFE with wide modern screen. Seats were fine although storage lacking compared to A380. Food still a letdown . Chicken served in kebabs but far too sweet and soggy. White wine good red poor. Breakfast scrambled eggs and steak! Spoilt by having a greasy liquid in the bottom of tray rendering pretty well inedible. I got a decent sleep.",Couple Leisure,Premium Economy,BKK to LHR,December 2016,4.0,4.0,4.0,3.0,no,Boeing 787,2.0,5.0,
999,999,1.0,"""offered me half the money""",Wayne Mckay,16th January 2019,True,"We recently flew from London to Bologna, the aircraft was full and they requested that people place their cabin bags into the hold with checked in luggage to save space. So we did, when we arrived my carry on bag which has accompanied me on many flights over the past 3 years was damaged and beyond repair or use for our further journeys. So I approached the damaged/lost baggage area, lodged a claim and provided all the evidence, explained that we were continuing to travel and needed to replace the bag asap. I was advised by the representatives to ring BA service line. Made the call spoke about replacing the bag and what was reasonable and did that and submitted a claim. Well it is still going, despite replacing the bag with a cheaper version the total cost has not been refunded. They instead asked me to produce receipts from 3 years ago and then offered me half the money due to depreciation. Despite a good flight etc have this ongoing angst of the money they refused to refund.",Couple Leisure,Economy Class,London to Bologna,December 2018,3.0,4.0,1.0,1.0,no,,,,
1764,1764,1.0,"""disgusted, what a rip off""",Robin Ingleton,21st March 2017,False,"London Heathrow to Dublin. Booked Business Class expecting extra legroom but seats are the same as in economy. I was and still am disgusted, what a rip off! How do they get away with it? Answer, people like me pay excessive air fares to fly with them, well not any more, disgraceful, they should be ashamed.",Business,Business Class,London Heathrow to Dublin,March 2017,1.0,3.0,3.0,1.0,no,A320,3.0,,
2325,2325,8.0,"""better than easyjet or Ryanair""",A Chinnery,11th April 2016,False,"London Heathrow to Athens on BA642 (2/4/16) and returned on BA643 (9/4/16). We decided to take a break from the low cost airlines and fly British Airways to Athens as we had found very cheap flights (£50 per person per way) and good flying times. As someone travelling with us is registered blind we could reserve seats before others on both flights with ease, priority boarding was given as well. Online check in was smooth and boarding passes on the outbound were printed off. On our flight out to Athens we were given a choice of a hot or cold meal. As I had something to eat before; I passed, but this was great given that some people would have been transiting quickly and wouldn't have time to eat at the terminal. The night flight on the way back was also good as meals (one hot option only) were offered with free drinks and pillows were available. Flight attendants were professional on both flights. Both flights landed early (one 35mins early!). If there is anything I could ask BA to improve on is allowing one desk open at Athens for all flights of the day for anyone that arrives early and just wants to print off boarding passes or offer self service kiosks at other airports outside of London. In conclusion British Airways are better than easyjet or Ryanair and if there is only a little price difference I would recommend travelling with them.",Family Leisure,Economy Class,LHR to ATH,April 2016,4.0,4.0,3.0,4.0,yes,A320,4.0,3.0,
2283,2283,1.0,"""economy seats sold as business""",P Trevatt,9th May 2016,False,Flew British Airways business class from London Heathrow to Santorini. The seats are a joke and in reality are economy seats sold as a business class package. No leg room and BA attempt to improve the experience by blocking the middle seat for a 2x2 configuration (A/C and D/E). The problem is they use an upended tray which is bolted into the seat and cannot be moved. At least If the middle seat was vacant couples could stretch across and free up some much needed space. Our flight was delayed by a hour traveling out and so we were stuck in our seats for almost five hours. Flight was full in business (9 rows taken up) and quickly became stuffy. Since this is an economy seat at a business price it is almost impossible to work out BAs business strategy. Will not fly on this leg again with BA and will take my custom to an alternate airline.,Couple Leisure,Business Class,LHR to JTR,May 2016,1.0,3.0,1.0,1.0,no,A320,3.0,,
858,858,1.0,"""Not worth the money""",D Smith,12th June 2019,True,"Miami to Delhi via London.  The BA business class I flew for the first time recently was the worst I have  flown. Whereas most have four seats across British Airways has eight! The lay down beds are hard, thin and short. Not worth the money.",Business,Business Class,Miami to Delhi via London Heathrow,June 2019,1.0,3.0,2.0,1.0,no,Boeing 747,3.0,,
479,479,1.0,"""I don't even get an apology""",Anastasiia Nikolaeva,6th December 2021,True,"I have a flight booked for January 2022, they send me an email at the beginning of December informing me that my flight was changed. My second flight was moved to the next day, making my layover 26 hours, called them, was told to just cancel. What kind of answer is that? I mean I still need to fly to where I am going, and booking with another airline closer to the day I am flying will be more expensive. It is a very big inconvenience for me and I don't even get an apology, just cancel!",Solo Leisure,Economy Class,Washington DC to Moscow via London,December 2021,1.0,1.0,1.0,1.0,no,,,,
2287,2287,3.0,"""cabin crew service was lacklustre""",S Lewis,5th May 2016,False,"I was looking forward to trying the new 787 from British Airways flying from Kuala Lumpur to London. The economy seat was a bit tight and the main niggle was the entertainment box at the base of the seat which hampered me from fully extended my legs. As a result, I had a swollen ankle as a result of the awkward position after this long flight. Cabin crew service was lacklustre and when I asked a passing crew to fill my water bottle, her reply was ""I am busy right now"" without offering any followup. Food was unappetising and presentation was awful. There was no rounds of drinks offered during the long flight other than the 2 meal services. Entertainment system was adequate but selection cant match what is offered by other competitors.
",Solo Leisure,Economy Class,KUL to LHR,May 2016,1.0,1.0,3.0,2.0,no,Boeing 787,1.0,2.0,2.0
2980,2980,6.0,British Airways customer review,D Chamberlain,20th May 2015,False,Brilliant service from the cabin crew and Captain/First Officer on this much delayed Lisbon-LHR flight. BA have questions to answer - another Lisbon-LHR flight which was heavily delayed (this happens regularly) another BA flight from Lisbon with a remote boarding location and poor management prior to boarding. Our two hour delay - all after we had boarded - was handled brilliantly by the crew with regular communication refreshments and as jovial atmosphere as was possible. But BA must face up to the astonishingly poor lounge in Lisbon the poor management of boarding and a limp response to questions.,,Business Class,,,4.0,5.0,,3.0,yes,,5.0,1.0,
458,458,6.0,"""return trip was disappointing""",Ken Howie,12th January 2022,True,"Return trip Cape Town to Durban in Club Class highlighted the inconsistency. Our outbound trip in December was good in all respects, whereas the return trip was disappointing. Check in was fine, apart from the agent failing to label one of bags priority, resulting in a long wait for our third bag. The lounge was busy, but no complaints. We went to the boarding gate at the check in time indicated on the screen, where there was no sign of activity, although the screen was still showing the same gate and departure time. Shortly thereafter two ground staff appeared and when approached said the flight was delayed from 1330 to 1410 and the gate was changed to the lower level bus gates. The informational screens had now updated to the delayed time and new gate. I checked on the flight radar app, which showed that our aircraft had started in Durban, and flown to Cape Town, Port Elizabeth, back to Cape Town, and it had been clear for some time that it had no hope of being on time for our flight. In fact looking at its schedule and turn around times it was always going to be late. Boarding eventually started at 1400 with departure at 1430, 60 minutes late. Drinks service only started 30 minutes later, followed by lunch. The food was good but the wine offering very mediocre, and not up to club standards. With the price of good wines in South Africa there is no excuse for serving poor wine. Lunch service was quick, but then the crew disappeared behind the curtain and there was no offering of top up drinks unless specifically requested. Overall this was a disappointing flight with a lacklustre crew",Couple Leisure,Business Class,Cape Town to Durban,January 2022,3.0,2.0,4.0,3.0,yes,Boeing 737-800,3.0,,
2338,2338,3.0,"""aircraft was very old and dated""",R Carter,31st March 2016,False,"Miami to Manchester via London Heathrow with British Airways. The aircraft was very old and dated, and too hot with no airconditioning above the seat. Food was disgusting - some type of chicken mashed up with potato and peas. These 747 aircraft need to be updated or retired as they are now showing their age. Tv screens are so small and have no USB or power points. Outbound flight was with American Airlines that was so much better. New aircraft, good entertainment and food with was good. Now that you have to change terminals at LHR when connecting from Miami, there is no advange of flying BA. So if you can choose a different airline or if you have to fly BA, avoid the 747. The A320 on the domestic flight to Manchester was very comfy and looked so much better.",Solo Leisure,Economy Class,MIA to MAN via LHR,March 2016,3.0,2.0,4.0,1.0,no,Boeing 747-400,1.0,1.0,
3066,3066,1.0,British Airways customer review,Michael Eidenschink,1st April 2015,False,"Very disappointing experience. Arrived at airport for a flight to Nice and learnt it was 1.5 hours late - with arriving aircraft nowhere in sight. Prior flight was boarding (also delayed) Having no luggage checked and seats available I thought I might get to Nice after all in time. No such luck. Whilst the flight continued to board for another 15 minutes I spent arguing with BA staff to even check whether they could get me on the flight. First class lounge staff refused to call the gate. All with ""flight is finalized"". In similar situations with other airlines (most notably Lufthansa) they always re-opened the flight and got me on. The only excuse was ""it's the rules"" (obviously BA). Staff in addition took calls whilst handling my - urgent - request further delaying the process. If I have a choice I will definitely use other airlines. In addition they have changed the seating in Europe to come more in line with Easyjet and Ryanair. At 6""4 very uncomfortable. Doesn't help to upgrade to Business: SAME seat. So you end up paying 300 pounds for a very predictable and unexciting food.",,Economy Class,,,1.0,1.0,,2.0,no,,2.0,1.0,
2992,2992,9.0,British Airways customer review,A Veccio,12th May 2015,False,Flew BA on open-jaw route BRU-LHR-LAX returning one week later SFO-LHR-BRU. BRU-LHR was on an A319 newly refurbished plane. I paid for seating selection weeks before. The day before on-line check-in opened I saw that some seats on the front of the plane became available to economy travellers with no surcharge so I took one of them to deplane as quick as possible (the plane landed a little bit ahead of schedule anyway). LHR-LAX on the A380 was a really nice experience really smooth flight and incredibly quiet upper-deck cabin. Food was not bad as long as you don't expect anything too fancy in economy. There was only one complete meal after take off and a pre- arrival snack before landing. On an 11 hours flight this may seem not enough but passengers are welcome to pick up snacks in the galley during the flight as well as having drinks fixed on demand. Only one negative spot of the flight: the cabin was really cold! SFO-LHR still on the A380 departed a little bit late due to a malfunction of one of the doors but crew kept us informed of the situation. Same nice experience nice crew and so on. LHR-BRU on an A320 departed late after being stuck on tarmac due to high departure rate at Heathrow. Once again the captain kept us informed and managed to catch most of the delay before landing in Brussels. Overall really nice experience but I wish they would not charge as much for seating selection before online check in. As I may be a nervous flyer I need a window seat and don't want to risk seating elsewhere. The four legs cost me more than 130 euros on pre-paid seating which I could take into account when choosing between BA and an another airline that let you choose free of charge when booking your flight. Besides that I won't hesitate to fly BA in the future.,,Economy Class,,,4.0,5.0,,4.0,yes,,4.0,4.0,
2588,2588,9.0,"""a great experience""",Markus Flamman,9th November 2015,False,"British Airways First class seats are very good compared to their business class. Truly a great experience. Loving the windows, there’s a cover that can open, shade or close. The pods are quite private. 1-2-1 configuration.  Service very attentive and personal. They will address you by name the moment you walk in, escort you to your seat and supply welcome drinks, towels, etc. Food is reasonable to good. If you don’t like (parts) of the meals, you can replace from (parts) of other sets, turning it in fact into semi- a-la-carte. Return flight was over-booked. By phone and email they contacted me and with my permission I was rebooked onto 1st class SQ flight at same day at more or less the same time.  In all, it was a very pleasant experience.  The Singapore lounge does not have a 1st class section and is mixed with business class. Fare difference between business class and 1st class is not as huge as with some other airlines. Definitely recommended.
",Solo Leisure,First Class,Singapore to Sydney,May 2015,4.0,5.0,4.0,5.0,yes,Boeing 777,4.0,4.0,
937,937,2.0,"""missed my connecting flight""",E Carter,14th March 2019,True,"London to Phoenix, BA289 yesterday. The plane was supposed to land at 1835. However, it landed at 1940. Because of this I missed my connecting flight to Ontario, California aboard American Airlines. By the time I was able to go through custom and pick up my luggage, it was already 2030. The flight departs at 2037. I went to the ground crew of American Airlines, they told me that I will not be able to make it to my connecting flight as they are already on the runway. They then directed me to British Airways. I went to the ground attendant of British Airways and she told me to go back to American Airlines to get it re booked. I went back to American Airlines then they told me again to back to British Airways since they are they the one who caused the delay. I went back to British Airways with the American Airlines supervisor. The British Airways attendant gave me a card with the customer service number and told me to call them in the morning. She did not offer any explanations or anything. American Airlines said we can re booked it for tomorrow morning but they did not offer any accommodation. I ended up getting my own car rental and drove from Phoenix to California in the middle of the night since I was not able to resolve this issues with both airlines.",Solo Leisure,Economy Class,London to Phoenix,March 2019,2.0,5.0,1.0,2.0,no,,5.0,5.0,
1876,1876,3.0,"""ludicrous approach to carry on baggage""",Russell Taylor,20th January 2017,False,Glasgow to London Gatwick with British Airways. Absolutely ludicrous approach to carry on baggage allowance on this flight. I arrived at my seat as the plane was only approximately a third boarded and already the overhead lockers in the 3 or 4 rows either side were jammed to capacity with huge bags that could not possibly have came even close to the permitted size allowed for a cabin. I struggled to squeeze my jacket into a gap between 2 massive cases and had to keep my small backpack containing only my change of clothes between my feet for the flight. No idea how how such visibly oversized and overweight bags were allowed onboard but it made for a pretty uncomfortable flight. Pretty disappointing from an airline whose standards seem to be sliding badly.,Solo Leisure,Economy Class,GLA to LGW,December 2016,1.0,4.0,4.0,2.0,no,A320,1.0,,
794,794,3.0,"""aircraft was narrow""",T Lasegiou,17th August 2019,True,"London to Larnaca. New A321neo, 4.5 hour flight. The aircraft was narrow, the food simple nothing worth spending my money. The staff was friendly but spending money on a 5 hour flight on such a small plane doesn't worth it. No entertainment onboard. It is a small plane for this duration. ",Family Leisure,Economy Class,London to Larnaca,August 2019,1.0,3.0,2.0,1.0,no,A321neo,,,
